No,기관코드,기관명,요양번호,기관분류,의료기관분류,지역,기관주소(도로명),시도,시군구,행정구역,x,y
102,A2800016,의료법인보원의료재단김해중앙병원,38100533,종합병원,지역응급의료센터,경남,"경상남도 김해시 분성로 94-8, (외동)",경상남도,김해시,경상남도_김해시,128.856969,35.230677
103,A2500005,의료법인영경의료재단전주병원,35100214,종합병원,지역응급의료센터,전북,"전라북도 전주시 완산구 한두평3길 13, (중화산동2가)",전라북도,전주시,전라북도_전주시,127.1247549,35.8153152
104,A2400012,의료법인영서의료재단천안충무병원,34100253,종합병원,지역응급의료센터,충남,충청남도 천안시 서북구 다가말3길 8 (쌍용동),충청남도,천안시,충청남도_천안시,127.1314935,36.7974037
105,A1200005,의료법인은성의료재단좋은삼선병원,21100501,종합병원,지역응급의료센터,부산,"부산광역시 사상구 가야대로 326, (주례동)",부산광역시,사상구,부산광역시_사상구,129.0078433,35.1503641
106,A1400014,의료법인인성의료재단한림병원,31100830,종합병원,지역응급의료센터,인천,"인천광역시 계양구 장제로 722, (작전동)",인천광역시,계양구,인천광역시_계양구,126.7343539,37.5322089
107,A1400016,의료법인인천사랑병원,31100619,종합병원,지역응급의료센터,인천,"인천광역시 남구 미추홀대로 726, (주안동)",인천광역시,남구,인천광역시_남구,126.6806792,37.4621977
108,A2300005,의료법인자산의료재단제천서울병원,33100110,종합병원,지역응급의료센터,충북,충청북도 제천시 숭문로 57 (서부동),충청북도,제천시,충청북도_제천시,128.2061642,37.1387287
109,A2900006,의료법인중앙의료재단에스-중앙병원,39100171,종합병원,지역응급의료센터,제주,"제주특별자치도 제주시 월랑로 91, (이호이동)",제주특별자치도,제주시,제주특별자치도_제주시,126.4705922,33.4922812
110,A2700002,의료법인한성재단포항세명기독병원,37100211,종합병원,지역응급의료센터,경북,"경상북도 포항시 남구 포스코대로 351, (대도동)",경상북도,포항시,경상북도_포항시,129.3617669,36.0178854
111,A2100041,의료법인한양의료재단남양주한양병원,31100996,종합병원,지역응급의료센터,경기,"경기도 남양주시 오남읍 양지로 47-55,",경기도,남양주시,경기도_남양주시,127.2044826,37.6824973
112,A1100020,의료법인한전의료재단한전병원,11101199,종합병원,지역응급의료센터,서울,"서울특별시 도봉구 우이천로 308, (쌍문동)",서울특별시,도봉구,서울특별시_도봉구,127.0286111,37.6457335
113,A2100015,의료법인효산의료재단안양샘병원,31100597,종합병원,지역응급의료센터,경기,"경기도 안양시 만안구 삼덕로 9, (안양동,안양샘병원)",경기도,안양시,경기도_안양시,126.9245805,37.3932247
114,A1100016,인제대학교상계백병원,11100818,종합병원,지역응급의료센터,서울,"서울특별시 노원구 동일로 1342, (상계동)",서울특별시,노원구,서울특별시_노원구,127.0631253,37.6485805
115,A2100038,인제대학교일산백병원,31100651,종합병원,지역응급의료센터,경기,"경기도 고양시 일산서구 주화로 170, (대화동)",경기도,고양시,경기도_고양시,126.7503763,37.674271
116,A1200022,인제대학교해운대백병원,21100608,종합병원,지역응급의료센터,부산,"부산광역시 해운대구 해운대로 875, (좌동)",부산광역시,해운대구,부산광역시_해운대구,129.1821128,35.1732524
117,A1500021,재단법인광주기독병원,36100030,종합병원,지역응급의료센터,광주,"광주광역시 남구 양림로 37, (양림동)",광주광역시,남구,광주광역시_남구,126.9120485,35.1366732
118,A2800004,재단법인대구포교성베네딕도수녀회창원파티마병원,38100118,종합병원,지역응급의료센터,경남,"경상남도 창원시 의창구 창이대로 45, (명서동)",경상남도,창원시,경상남도_창원시,128.645773,35.2371891
119,A2500006,재단법인예수병원유지재단예수병원,35100028,종합병원,지역응급의료센터,전북,"전라북도 전주시 완산구 서원로 365, (중화산동1가)",전라북도,전주시,전라북도_전주시,127.1329653,35.8143382
120,A2500007,전라북도군산의료원,35100095,종합병원,지역응급의료센터,전북,"전라북도 군산시 의료원로 27, (지곡동,군산의료원)",전라북도,군산시,전라북도_군산시,126.7123791,35.9546621
121,A2500004,전라북도남원의료원,35100087,종합병원,지역응급의료센터,전북,"전라북도 남원시 충정로 365, (고죽동)",전라북도,남원시,전라북도_남원시,127.4065163,35.4325641
122,A2800003,제일병원,38100550,종합병원,지역응급의료센터,경남,"경상남도 진주시 진주대로 885, (강남동)",경상남도,진주시,경상남도_진주시,128.0902504,35.1794376
123,A2900007,제주대학교병원,39100103,종합병원,지역응급의료센터,제주,"제주특별자치도 제주시 아란13길 15, (아라일동)",제주특별자치도,제주시,제주특별자치도_제주시,126.5452685,33.467161
124,A2900002,제주특별자치도서귀포의료원,39100090,종합병원,지역응급의료센터,제주,"제주특별자치도 서귀포시 장수로 47, (동홍동)",제주특별자치도,서귀포시,제주특별자치도_서귀포시,126.5642445,33.2558416
125,A2100054,지샘병원,31101127,종합병원,지역응급의료센터,경기,"경기도 군포시 군포로 591, (당동)",경기도,군포시,경기도_군포시,126.9474131,37.3586672
126,A2700007,차의과학대학교부속구미차병원,37100343,종합병원,지역응급의료센터,경북,경상북도 구미시 신시로10길 12 (형곡동),경상북도,구미시,경상북도_구미시,128.3405487,36.114524
127,A2100030,차의과학대학교분당차병원,31100511,종합병원,지역응급의료센터,경기,"경기도 성남시 분당구 야탑로 59, (야탑동)",경기도,성남시,경기도_성남시,127.1254736,37.4102534
128,A1500011,첨단종합병원,36100641,종합병원,지역응급의료센터,광주,"광주광역시 광산구 첨단중앙로170번길 59, (쌍암동)",광주광역시,광산구,광주광역시_광산구,126.8452922,35.2211002
129,A2300008,청주성모병원,33100161,종합병원,지역응급의료센터,충북,"충청북도 청주시 청원구 주성로 173-19, (주중동)",충청북도,청주시,충청북도_청주시,127.4860096,36.6739192
130,A2400006,충청남도서산의료원,34100164,종합병원,지역응급의료센터,충남,"충청남도 서산시 중앙로 149, (석림동)",충청남도,서산시,충청남도_서산시,126.4653195,36.7754267
131,A2400007,충청남도홍성의료원,34100121,종합병원,지역응급의료센터,충남,"충청남도 홍성군 홍성읍 조양로 224,",충청남도,홍성군,충청남도_홍성군,126.6744199,36.5987584
132,A2700010,포항선린병원,37100432,종합병원,지역응급의료센터,경북,"경상북도 포항시 북구 대신로 43, (대신동)",경상북도,포항시,경상북도_포항시,129.3670468,36.0480255
133,A2700016,포항성모병원,37100068,종합병원,지역응급의료센터,경북,"경상북도 포항시 남구 대잠동길 17, (대잠동)",경상북도,포항시,경상북도_포항시,129.3397893,36.0151769
134,A1500017,하남성심병원,36100340,종합병원,지역응급의료센터,광주,"광주광역시 광산구 용아로 259, (산정동)",광주광역시,광산구,광주광역시_광산구,126.8006951,35.1666657
135,A1600005,학교법인가톨릭학원가톨릭대학교대전성모병원,34100032,종합병원,지역응급의료센터,대전,"대전광역시 중구 대흥로 64, (대흥동)",대전광역시,중구,대전광역시_중구,127.4200175,36.3230853
136,A1600006,학교법인건양학원건양대학교병원,34100245,종합병원,지역응급의료센터,대전,"대전광역시 서구 관저동로 158, (가수원동)",대전광역시,서구,대전광역시_서구,127.3429901,36.3073565
137,A2700013,학교법인동은학원순천향대학교부속구미병원,37100441,종합병원,지역응급의료센터,경북,"경상북도 구미시 1공단로 179, (공단동)",경상북도,구미시,경상북도_구미시,128.3826588,36.1030677
138,A1600002,학교법인을지대학교병원,34100041,종합병원,지역응급의료센터,대전,"대전광역시 서구 둔산서로 95, (둔산동)",대전광역시,서구,대전광역시_서구,127.381974,36.3553125
139,A1100033,학교법인인제학원인제대학교부속서울백병원,11100036,종합병원,지역응급의료센터,서울,"서울특별시 중구 마른내로 9, (저동2가)",서울특별시,중구,서울특별시_중구,126.9888329,37.5649011
140,A1100053,한국보훈복지의료공단중앙보훈병원,11100231,종합병원,지역응급의료센터,서울,"서울특별시 강동구 진황도로61길 53, (둔촌동)",서울특별시,강동구,서울특별시_강동구,127.1478475,37.5290867
141,A1100055,한림대학교강남성심병원,11100303,종합병원,지역응급의료센터,서울,"서울특별시 영등포구 신길로 1, (대림동,강남성심병원)",서울특별시,영등포구,서울특별시_영등포구,126.908684,37.4932758
142,A2100046,한림대학교동탄성심병원,31101097,종합병원,지역응급의료센터,경기,"경기도 화성시 큰재봉길 7, (석우동)",경기도,화성시,경기도_화성시,127.0799422,37.2165358
143,A2200013,한림대학부속춘천성심병원,32100124,종합병원,지역응급의료센터,강원,"강원도 춘천시 삭주로 77, (교동)",강원도,춘천시,강원도_춘천시,127.7402207,37.8841766
